en,ru
The side of the house was covered with ivy.,На стороне дома была плющ.
The side of the house was covered with ivy.,Обратная сторона дома была покрыта плющом.
The sight sent chills of delight up my spine.,"Вид, который покрыл меня ознобом, пополнил мой позвоночник."
The sight sent chills of delight up my spine.,Вид прислал озноб удовольствий в мой позвоночник.
The sightseeing bus ran through a long tunnel.,Автобус-видеопроникновение пробежал через длинный тоннель.
The sightseeing bus ran through a long tunnel.,Автобус с достопримечательностями пробежал через длинный туннель.
The singers sang together in order to raise money to help people with AIDS.,"Певцы пели вместе, чтобы собрать деньги, чтобы помочь людям со СПИДом."
The singers sang together in order to raise money to help people with AIDS.,"Певцы пели вместе, чтобы собрать деньги, чтобы помочь людям со СПИДом."
The situation has come to the point where we either sink or swim.,"Ситуация пришла к тому, что мы либо тонем, либо купаемся."
The situation has come to the point where we either sink or swim.,"Ситуация подошла к тому, что мы либо тонем, либо купаемся."
The situation is growing serious.,Ситуация становится все более серьезной.
The situation is growing serious.,Ситуация становится все более серьезной.
The situation is worse than we believed.,"Ситуация хуже, чем мы думали."
The situation is worse than we believed.,"Ситуация хуже, чем мы думали."
The sky became darker and darker.,Небо стало темнее и темнее.
The sky became darker and darker.,Небо стало темнее и темнее.
The sky brightened.,Небо просветилось.
The sky brightened.,Небо прояснилось.
The sky clouded over.,Небо затуманилось.
The sky clouded over.,Небо затуманилось.
"The sky grew darker and darker, and the wind blew harder and harder.","Небо стало темнее и темнее, и ветер дул все сильнее и сильнее."
"The sky grew darker and darker, and the wind blew harder and harder.","Небо стало темнее и темнее, и ветер дул все сильнее и сильнее."
The sky grew darker and darker.,Небо стало темнее и темнее.
The sky grew darker and darker.,Небо стало темнее и темнее.
The sky has become clear.,Небо стало ясным.
The sky has become clear.,Небо стало ясным.
The sky has become overcast.,Небо уже повергнуто в горечь.
The sky has become overcast.,Небо свергнулось.
The sky has brightened.,Небо просветилось.
The sky has brightened.,Небо прояснилось.
The sky is as blue as blue can be.,"Небо синее, как можно синее."
The sky is as blue as blue can be.,"Небо настолько синее, насколько может быть синее."
The sky is becoming cloudy.,Небо становится облачным.
The sky is becoming cloudy.,Небо становится облачным.
The sky is blue.,Небо синее.
The sky is blue.,Небо синее.
The sky is clear almost every day.,Небо ясно почти каждый день.
The sky is clear almost every day.,Небо ясно почти каждый день.
The sky is clear and the sun is bright.,"Небо чистое, солнце яркое."
The sky is clear and the sun is bright.,"Небо чистое, солнце яркое."
The sky is covered with clouds.,Небо покрыто облаками.
The sky is covered with clouds.,Небо покрыто облаками.
The sky is full of stars.,Небо полон звезд.
The sky is full of stars.,В небе полно звёзд.
The sky is getting dark.,Небо становится темным.
The sky is getting dark.,Небо темнеет.
The sky is getting light.,Небо становится светлым.
The sky is getting light.,Небо становится светлым.
The sky is over our heads.,Небо над нами.
The sky is over our heads.,Небо над нашими головами.
The sky looks angry.,Небо выглядит злым.
The sky looks angry.,Небо выглядит злым.
The sky promises fair weather.,Небо обещает честную погоду.
The sky promises fair weather.,Небо обещает честную погоду.
The sky seemed to blend with the sea.,"Небо, казалось, слилось с морем."
The sky seemed to blend with the sea.,"Небо, казалось, слилось с морем."
The sky suddenly began to darken.,Небо внезапно начало темнеть.
The sky suddenly began to darken.,Небо внезапно начало темнеть.
The sky was ablaze with fireworks.,Небо было сожжено фейерверками.
The sky was ablaze with fireworks.,Небо было сожжено фейерверками.
The sky was as clear as ever.,Небо было как никогда ясным.
The sky was as clear as ever.,Небо было как никогда ясным.
The sky was bright and clear.,Небо было ярким и ясным.
The sky was bright and clear.,Небо было ярким и ясным.
The sky was completely dark.,Небо было совершенно темным.
The sky was completely dark.,Небо было совершенно темным.
The sky was full of stars.,Небо было полно звезд.
The sky was full of stars.,Небо было полно звёзд.
The sky will soon clear up.,Небо скоро очистится.
The sky will soon clear up.,Небо скоро очистится.
The slave ran for his life.,Раб побежал за свою жизнь.
The slave ran for his life.,Раб убежал за свою жизнь.
The slaves were working like so many ants.,Рабы работали как муравьи.
The slaves were working like so many ants.,Рабы работали как муравьи.
The small animal gave off a bad smell.,Маленькое животное плохо пахло.
The small animal gave off a bad smell.,Маленькое животное плохо пахло.
The small boat was at the mercy of the wind.,Маленькая лодка была на милость ветра.
The small boat was at the mercy of the wind.,Маленькая лодка была по милости ветра.
The small country was annexed to its larger neighbor.,Маленькая страна была аннексирована к своему большому соседу.
The small country was annexed to its larger neighbor.,Маленькая страна была аннексирована своим большим соседом.
The small dog tried to get away.,Маленькая собака пыталась убежать.
The small dog tried to get away.,Маленькая собака пыталась сбежать.
The small island came into sight.,Маленький остров появился на свет.
The small island came into sight.,Маленький остров появился на свет.
The small island looked like a tortoise from a distance.,Маленький остров выглядел как черепаха с расстояния.
The small island looked like a tortoise from a distance.,Маленький остров выглядел как черепаха с расстояния.
The small statue is said to be made of fine gold.,"Маленькая статуя, как говорят, сделана из золота."
The small statue is said to be made of fine gold.,"Маленькая статуя, как говорят, сделана из чистого золота."
"The smaller the body, the more likely the person will suffer from the ill effects of radiation.","Чем меньше тело, тем больше вероятность того, что человек будет страдать от неблагоприятных последствий радиации."
"The smaller the body, the more likely the person will suffer from the ill effects of radiation.","Чем меньше тело, тем больше вероятность того, что человек будет страдать от плохого воздействия радиации."
The smell of roses filled the room.,Запах розы наполнил комнату.
The smell of roses filled the room.,Запах роз наполнил комнату.
The smoke blew away.,Дым выдулся.
The smoke blew away.,Дым взорвался.
The smoke poured out of the chimney.,Дым вылился из дымохода.
The smoke poured out of the chimney.,Дым вылился из дымохода.
"The soccer game will be played, even if it rains.","Игра в футбол будет играться, даже если будет дождь."
"The soccer game will be played, even if it rains.","Игра в футбол будет сыграна, даже если будет дождь."
The social worker was asked to follow up the information about the Stevenson family.,Социальному работнику было предложено проверить информацию о семье Стивенсона.
The social worker was asked to follow up the information about the Stevenson family.,Социальному работнику было предложено проверить информацию о семье Стивенсона.
The socialist was accompanied by a female interpreter.,Социалистов сопровождала женщина-переводчик.
The socialist was accompanied by a female interpreter.,Социалистов сопровождала женщина-переводчик.
The society was founded in 1990.,Общество было основано в 1990 году.
The society was founded in 1990.,Общество было основано в 1990 году.
The soldier acted bravely.,Солдат действовал храбро.
The soldier acted bravely.,Солдат действовал храбро.
The soldier gave water to me.,Солдат дал мне воду.
The soldier gave water to me.,Солдат дал мне воду.
The soldier lay injured on the ground.,Солдат лежал на земле и получил ранения.
The soldier lay injured on the ground.,Солдат лежал на земле и получил ранения.
The soldier was killed in action.,Солдат был убит в бою.
The soldier was killed in action.,Солдат был убит в бою.
The soldier was not in the least afraid to die.,Солдат не боялся умереть.
The soldier was not in the least afraid to die.,Солдат не боялся умереть.
The soldier was wounded in the leg and couldn't move.,Солдат был ранен в ногу и не мог двигаться.
The soldier was wounded in the leg and couldn't move.,Солдат был ранен в ногу и не мог двигаться.
The soldier was wounded in the leg.,Солдат был ранен в ногу.
The soldier was wounded in the leg.,Солдат был ранен в ногу.
"The soldiers fought valiantly, but finally they had to give in.","Солдаты сражались мужественно, но в конце концов им пришлось сдаться."
"The soldiers fought valiantly, but finally they had to give in.","Солдаты храбро сражались, но в конце концов им пришлось сдаться."
The soldiers were exposed to the enemy's fire.,Солдаты были подвергнуты обстрелу противника.
The soldiers were exposed to the enemy's fire.,Солдаты подверглись обстрелу противника.
The soles of my shoes are worn.,Подошвы моих ботинок надевают.
The soles of my shoes are worn.,Подошвы моих ботинок надевают.
"The sooner you return, the happier your father will be.","Чем скорее ты вернешься, тем счастливее будет твой отец."
"The sooner you return, the happier your father will be.","Чем скорее ты вернешься, тем счастливее будет твой отец."
"The sooner, the better.","Чем раньше, тем лучше."
"The sooner, the better.","Чем раньше, тем лучше."
The sound of the violin is very sweet.,Звук скрипки очень сладкий.
The sound of the violin is very sweet.,Звук скрипки очень сладкий.
The space ship will get to the moon soon.,Космический корабль скоро доберется до Луны.
The space ship will get to the moon soon.,Космический корабль скоро доберется до Луны.
The spaceship is out of orbit around the moon.,Космический корабль вылетел с орбиты вокруг Луны.
The spaceship is out of orbit around the moon.,Космический корабль вылетел с орбиты вокруг Луны.
The speaker aroused the anger of the audience.,Оратор вызвал гнев зрителей.
The speaker aroused the anger of the audience.,Оратор вызвал гнев зрителей.
The speaker should stand where everyone can see him.,"Оратор должен встать на место, где его могут видеть все."
The speaker should stand where everyone can see him.,"Оратор должен стоять там, где его могут видеть все."
The speaker tried to incite the people to rebellion.,Оратор пытался побудить народ к мятежу.
The speaker tried to incite the people to rebellion.,Оратор пытался побудить народ к мятежу.
The spectators at the baseball match cheered their team on.,Наблюдатели на бейсбольном матче подбодрили команду.
The spectators at the baseball match cheered their team on.,Наблюдатели на бейсбольном матче подбодрили команду.
The speeding vehicle skidded and crashed head-on into the rear-end of a truck before the driver could say Jack Robinson.,"Быстроходный автомобиль скатился и ударился головой в заднюю часть грузовика, прежде чем водитель мог сказать Джек Робинсон."
The speeding vehicle skidded and crashed head-on into the rear-end of a truck before the driver could say Jack Robinson.,"Быстрая машина соскользнула и ударилась головой в заднюю часть грузовика, прежде чем водитель мог сказать Джек Робинсон."
"The spirit is willing, but the flesh is weak.","Дух готов, но плоть слаба."
"The spirit is willing, but the flesh is weak.","Дух готов, но плоть слаба."
The spirit of patriotism has its source in the love of the family.,Дух патриотизма исходит из любви семьи.
The spirit of patriotism has its source in the love of the family.,Дух патриотизма лежит в основе любви к семье.
The spoiled meat had a nasty smell.,Испорченное мясо было вонючим запахом.
The spoiled meat had a nasty smell.,У испорченного мяса был отвратительный запах.
The squirrel was busy gathering nuts.,Белка была занята сбором орехов.
The squirrel was busy gathering nuts.,Белка была занята сбором орехов.
The star is so bright as to be seen with the naked eye.,"Звезда настолько яркая, что ее можно увидеть невооруженным глазом."
The star is so bright as to be seen with the naked eye.,"Звезда настолько яркая, что ее можно увидеть невооруженным глазом."
The statement imported that changes were necessary.,"В заявлении было указано, что изменения необходимы."
The statement imported that changes were necessary.,"В заявлении было указано, что изменения необходимы."
The statement is not wholly true.,Это заявление не совсем верно.
The statement is not wholly true.,Это заявление не полностью соответствует действительности.
The statesman comes from Arizona.,Государственный деятель приехал из Аризоны.
The statesman comes from Arizona.,Государственный деятель приехал из Аризоны.
The statesman is worthy of respect.,Государственный деятель заслуживает уважения.
The statesman is worthy of respect.,Государственный деятель заслуживает уважения.
The station is a ten minute drive from here.,Станция в десяти минутах езды отсюда.
The station is a ten minute drive from here.,Станция в 10 минутах езды отсюда.
The station is about three miles from here.,Станция в трех милях отсюда.
The station is about three miles from here.,Станция в трёх милях отсюда.
The station is near at hand.,Станция рядом.
The station is near at hand.,Станция рядом.
The station is nearby.,Станция рядом.
The station is nearby.,Станция рядом.
The station is not far from here.,Станция недалеко отсюда.
The station is not far from here.,Станция недалеко отсюда.
The station is to the west of the hotel.,Станция находится на западе от отеля.
The station is to the west of the hotel.,Станция находится на западе от отеля.
The statue expresses freedom.,Статуя выражает свободу.
The statue expresses freedom.,Статуя выражает свободу.
The statue is carved out of stone.,Статуя вырезана из камня.
The statue is carved out of stone.,Статуя вырезана из камня.
The statue is missing its head.,Статуя потеряла голову.
The statue is missing its head.,Статуя потеряла голову.
The status of the project is as follows.,Ниже приводится информация о ходе осуществления проекта.
The status of the project is as follows.,Ниже приводится информация о ходе осуществления проекта.
The stepmother sneered at Cinderella.,Мачеха ухмылялась за Золушкой.
The stepmother sneered at Cinderella.,Мачеха ухмылялась за Золушкой.
The stock market is in a prolonged slump.,Рынок акций находится в затяжном спаде.
The stock market is in a prolonged slump.,Рынок акций находится в затяжном спаде.
The stock market is severely depressed.,Рынок акций сильно подавлен.
The stock market is severely depressed.,Рынок акций сильно подавлен.
The stockholders are making money hand over fist.,"Акционеры зарабатывают деньги, передавая кулаки."
The stockholders are making money hand over fist.,Акционеры зарабатывают деньги на кулак.
The stomach is one of the internal organs.,Желудок - один из внутренних органов.
The stomach is one of the internal organs.,Желудок - один из внутренних органов.
The store closes at eleven.,Магазин закрывается в одиннадцать.
The store closes at eleven.,Магазин закрывается в одиннадцать.
The store closes at seven.,Магазин закрывается в семь.
The store closes at seven.,Магазин закрывается в семь.
The store deals in vegetables.,В магазине продаются овощи.
The store deals in vegetables.,Магазин торгует овощами.
The store has a large stock of wines.,В магазине много вина.
The store has a large stock of wines.,В магазине большой запас вина.
The store is close to my house.,Магазин рядом с моим домом.
The store is close to my house.,Магазин рядом с моим домом.
The store is closed Mondays.,Магазин закрыт по понедельникам.
The store is closed Mondays.,Магазин закрыт по понедельникам.
The store is just across from my house.,Магазин прямо напротив моего дома.
The store is just across from my house.,Магазин прямо напротив моего дома.
The store is just across from the theater.,Магазин прямо напротив театра.
The store is just across from the theater.,Магазин прямо напротив театра.
The store is not open today.,Магазин сегодня не открыт.
The store is not open today.,Магазин сегодня не открыт.
The store might be closed already.,Магазин может быть уже закрыт.
The store might be closed already.,Магазин уже может быть закрыт.
The store raised all the prices.,Магазин поднял все цены.
The store raised all the prices.,Магазин поднял все цены.
The storm did great damage to her property.,Буря нанесла огромный ущерб ее собственности.
The storm did great damage to her property.,Буря нанесла огромный ущерб ее собственности.
The story cannot be true.,История не может быть правдой.
The story cannot be true.,История не может быть правдой.
The story ends happily.,История заканчивается счастливо.
The story ends happily.,История заканчивается счастливо.
The story ends with his death.,История заканчивается его смертью.
The story ends with his death.,История заканчивается его смертью.
The story goes back to the sixteenth century.,История возвращается к шестнадцатому веку.
The story goes back to the sixteenth century.,Эта история относится к шестнадцатому веку.
The story had a happy ending.,У истории был счастливый конец.
The story had a happy ending.,У истории был счастливый конец.
The story is based on his own experience.,История основана на его собственном опыте.
The story is based on his own experience.,История основана на его собственном опыте.
The story left him unmoved.,История оставила его без движения.
The story left him unmoved.,История оставила его недвижимым.
The story reminded me of my father.,История напомнила мне моего отца.
The story reminded me of my father.,История напомнила мне моего отца.
The story reminds me of an experience I had long ago.,"История напоминает мне о том, что я пережила давным-давно."
The story reminds me of an experience I had long ago.,"История напоминает мне о том, что я пережила давным-давно."
The story sounds true.,История звучит правдой.
The story sounds true.,История звучит правдой.
The story was in all daily newspapers.,Эта история была во всех ежедневных газетах.
The story was in all daily newspapers.,Эта история была во всех ежедневных газетах.
The story was so complicated that I couldn't follow it.,"История была настолько сложна, что я не могла ее понять."
The story was so complicated that I couldn't follow it.,"История была настолько сложна, что я не мог ее понять."
The story was true.,История была правдой.
The story was true.,История была правдой.
The story was very interesting.,История была очень интересна.
The story was very interesting.,История была очень интересна.
The stranger was too surprised to speak.,"Незнакомец был слишком удивлен, чтобы говорить."
The stranger was too surprised to speak.,"Незнакомец был слишком удивлен, чтобы говорить."
The street is paved with asphalt.,Улица вымощена асфальтом.
The street is paved with asphalt.,Улица вымощена асфальтом.
The street runs along the river.,Улица ходит по реке.
The street runs along the river.,Улица бегает по реке.
The street was empty of people and traffic.,"На улице никого не было и людей, и пробок."
The street was empty of people and traffic.,На улице было пусто людей и пробок.
The streets are filled with an air of exoticism.,Улицы полны экзотического воздуха.
The streets are filled with an air of exoticism.,Улицы заполнены экзотическим воздухом.
The strong east wind lashed at our faces.,Сильный восточный ветер помешался на наших лицах.
The strong east wind lashed at our faces.,Сильный восточный ветер обрушился на нас.
The strong must help the weak.,Сильные должны помогать слабым.
The strong must help the weak.,Сильные должны помогать слабым.
The strong should take care of the weak.,Сильные должны заботиться о слабых.
The strong should take care of the weak.,Сильные должны заботиться о слабых.
The strong wind cut the electric wires in several places.,Сильный ветер перерезал электрические провода в нескольких местах.
The strong wind cut the electric wires in several places.,Сильный ветер перерезал электрические провода в нескольких местах.
The strong wind died away at night.,Сильный ветер угас ночью.
The strong wind died away at night.,Сильный ветер умирал ночью.
The strong wind indicates that a storm is coming.,"Сильный ветер указывает на то, что приближается шторм."
The strong wind indicates that a storm is coming.,"Сильный ветер указывает на то, что надвигается шторм."
The student missed class three times in a row.,Студент пропустил три раза подряд.
The student missed class three times in a row.,Студент пропустил занятия три раза подряд.
The students are for the most part diligent.,Студенты в основном прилежны.
The students are for the most part diligent.,Студенты в основном прилежны.
The students are making good progress in English.,Учащиеся успешно говорят по-английски.
The students are making good progress in English.,Студенты успешно говорят по-английски.
The students assembled in the classroom.,Студенты собрались в классе.
The students assembled in the classroom.,Студенты собрались в классе.
The students assisted the professor in the investigation.,Студенты помогали профессору в расследовании.
The students assisted the professor in the investigation.,Студенты помогали профессору в расследовании.
The students demonstrated against the new government.,Студенты выступили против нового правительства.
The students demonstrated against the new government.,Студенты протестовали против нового правительства.
The students learned many poems by heart.,Студенты выучили много стихотворений наизусть.
The students learned many poems by heart.,Студенты выучили много стихотворений наизусть.
The students learned this poem by heart.,Студенты научились этому стихотворению наизусть.
The students learned this poem by heart.,Студенты научились этому стихотворению наизусть.
The students noted down every word the teacher said.,"Студенты замечали каждое слово, которое говорил учитель."
The students noted down every word the teacher said.,"Студенты замечали каждое слово, которое говорил учитель."
The students sat still all the time.,Студенты постоянно сидели спокойно.
The students sat still all the time.,Студенты все время сидели спокойно.
"The students sat still, listening to the lecture.","Студенты сидели спокойно, слушая лекцию."
"The students sat still, listening to the lecture.","Студенты сидели спокойно, слушая лекцию."
The students stood waiting for a bus.,Студенты стояли и ждали автобуса.
The students stood waiting for a bus.,Студенты стояли и ждали автобуса.
The students were all looking forward to the summer vacation.,Все студенты с нетерпением ждали летних каникул.
The students were all looking forward to the summer vacation.,Студенты с нетерпением ждали летних каникул.
The students were required to learn the Constitution by heart.,Студенты должны были изучать Конституцию наизусть.
The students were required to learn the Constitution by heart.,Студенты обязаны изучать Конституцию наизусть.
The subject has not yet been fully explored.,Этот вопрос еще не полностью изучен.
The subject has not yet been fully explored.,Данный вопрос еще не в полной мере изучен.
The success animated him with hope.,Успех вселил в него надежду.
The success animated him with hope.,Успех вселил в него надежду.
The success resulted from your efforts.,Успех был достигнут благодаря вашим усилиям.
The success resulted from your efforts.,Успех был достигнут благодаря вашим усилиям.
The summer had gone before I knew.,"Лето прошло еще до того, как я узнал."
The summer had gone before I knew.,"Лето прошло еще до того, как я узнала."
The summer is over.,Лето закончилось.
The summer is over.,Лето закончилось.
The summer vacation begins in July.,Летние каникулы начинаются в июле.
The summer vacation begins in July.,Летние каникулы начинаются в июле.
The summer vacation has come to an end too soon.,Летние каникулы закончились слишком рано.
The summer vacation has come to an end too soon.,Летние каникулы закончились слишком рано.
The summer vacation is only a week away.,Летние каникулы всего через неделю.
The summer vacation is only a week away.,Летние каникулы всего через неделю.
The summer vacation is over.,Летние каникулы окончены.
The summer vacation is over.,Летние каникулы закончились.
The sun is shining in the sky.,Солнце светит в небе.
The sun is shining in the sky.,Солнце сияет в небе.
The sun will come up soon.,Скоро взойдет солнце.
The sun will come up soon.,Скоро взойдет солнце.
The sweat was dripping off my brow.,Пот капал с моей брови.
The sweat was dripping off my brow.,Пот капал с моей брови.
The swimmers were numb with cold.,Пловцы были обезболивающие от холода.
The swimmers were numb with cold.,Пловцы онемели от холода.
The table was covered with dust.,Столик был покрыт пылью.
The table was covered with dust.,Столик был покрыт пылью.
The tanker has only a small crew on board.,На борту танкера имеется лишь небольшая группа.
The tanker has only a small crew on board.,На борту танкера имеется лишь небольшая команда.
The tap is running.,Кран работает.
The tap is running.,Кран работает.
The tape recorder is a useful aid to teaching.,Диктофон является полезным подспорьем в обучении.
The tape recorder is a useful aid to teaching.,Этот магнитофон является полезным подспорьем в обучении.
The tar won't come off. I'm going to have to take this skirt to the dry cleaner.,Смола не снимается. Мне придется отнести эту юбку в химчистку.
The tar won't come off. I'm going to have to take this skirt to the dry cleaner.,Смола не снимается. Мне придётся отнести эту юбку в химчистку.
The taxi has arrived.,Такси прибыло.
The taxi has arrived.,Такси прибыло.
The taxi is waiting outside.,Такси ждет снаружи.
The taxi is waiting outside.,Такси ждет снаружи.
The taxi picked up two passengers.,Такси забрало двух пассажиров.
The taxi picked up two passengers.,Такси забрало двух пассажиров.
The teacher answers every question we ask.,"Учитель отвечает на каждый вопрос, который мы задаем."
The teacher answers every question we ask.,"Учитель отвечает на каждый вопрос, который мы задаем."
The teacher emphasized the importance of education.,Учитель подчеркнул важность образования.
The teacher emphasized the importance of education.,Преподаватель подчеркнул важность образования.
The teacher enjoyed talking with some of the graduates.,Учительница наслаждалась беседами с некоторыми выпускниками.
The teacher enjoyed talking with some of the graduates.,Учительница с удовольствием поговорила с некоторыми выпускниками.
The teacher had her eye on me because she thought I was cheating.,"Учительница приглядывала за мной, потому что думала, что я изменяю."
The teacher had her eye on me because she thought I was cheating.,"Учительница приглядывала за мной, потому что думала, что я изменяю."
The teacher has a great influence on his pupils.,Учитель оказывает большое влияние на своих учеников.
The teacher has a great influence on his pupils.,Учитель оказывает большое влияние на своих учеников.
The teacher is strict with his students.,Учитель строго с учениками.
The teacher is strict with his students.,Учитель строго с учениками.
The teacher scolded his students severely.,Учитель сильно ругался со своими учениками.
The teacher scolded his students severely.,Учитель сильно ругался со своими учениками.
The teacher told me that Hitler killed himself.,"Учительница сказала мне, что Гитлер покончил с собой."
The teacher told me that Hitler killed himself.,"Учительница сказала мне, что Гитлер покончил с собой."
The teacher told us a funny story.,Учитель рассказал нам забавную историю.
The teacher told us a funny story.,Учитель рассказал нам забавную историю.
The teachers are trying to motivate their students.,Учителя пытаются мотивировать своих учеников.
The teachers are trying to motivate their students.,Учителя пытаются мотивировать своих учеников.
The telegram was a trick to get her to come home.,"Телеграмма была уловкой, чтобы заставить ее вернуться домой."
The telegram was a trick to get her to come home.,"Телеграмма была трюком, чтобы заставить ее вернуться домой."
The telephone was ringing when I got home.,"Телефон звонил, когда я вернулся домой."
The telephone was ringing when I got home.,"Телефон звонил, когда я вернулся домой."
The television doesn't work.,Телевидение не работает.
The television doesn't work.,Телевидение не работает.
The temperature falls.,Температура падает.
The temperature falls.,Температура падает.
The temperature fell several degrees.,Температура упала на несколько градусов.
The temperature fell several degrees.,Температура упала на несколько градусов.
The temperature has suddenly dropped.,Температура внезапно упала.
The temperature has suddenly dropped.,Температура внезапно упала.
The theory is based on thorough research.,Эта теория основана на тщательном исследовании.
The theory is based on thorough research.,Теория основана на тщательном исследовании.
The theory is too abstract for me.,Эта теория слишком абстрактна для меня.
The theory is too abstract for me.,Теория слишком абстрактна для меня.
The thermometer is an instrument for measuring temperature.,Термометр - это прибор для измерения температуры.
The thermometer is an instrument for measuring temperature.,Термометр - это прибор для измерения температуры.
The thermometer reads 10C.,Термометр - 10С.
The thermometer reads 10C.,Термометр соответствует 10С.
The thermometer reads three degrees below zero.,Термометр на три градуса ниже нуля.
The thermometer reads three degrees below zero.,Термометр на три градуса ниже нуля.
The thermometer went down below zero.,Термометр упал ниже нуля.
The thermometer went down below zero.,Термометр упал ниже нуля.
The thief admitted his guilt.,Вор признал свою вину.
The thief admitted his guilt.,Вор признал свою вину.
The thief entered through a broken window.,Вор вошел через разбитое окно.
The thief entered through a broken window.,Вор вошел через разбитое окно.
The thief got away with the money.,Вор сбежал с деньгами.
The thief got away with the money.,Вор сбежал с деньгами.
The thief ran away at the sight of a detective.,Вор убежал от вида детектива.
The thief ran away at the sight of a detective.,Вор убежал при виде детектива.
The thief ran away.,Вор убежал.
The thief ran away.,Вор убежал.
The thief ran fast.,Вор быстро бежал.
The thief ran fast.,Вор быстро бежал.
The thief reluctantly admitted his guilt.,Вор неохотно признал свою вину.
The thief reluctantly admitted his guilt.,Вор неохотно признал свою вину.
The thieves knocked off another bank today in a daytime robbery.,Сегодня воры сбили другой банк в ходе дневного ограбления.
The thieves knocked off another bank today in a daytime robbery.,Сегодня воры ограбили другой банк во время дневного ограбления.
The thin man paused in the shade with his knees a little bent.,Тонкий человек немного погнул колени в тень.
The thin man paused in the shade with his knees a little bent.,Тонкий человек слегка согнул колени и остановился в тени.
The ticket holds good for three days.,Билет продержался три дня.
The ticket holds good for three days.,Билет остается в силе в течение трех дней.
The ticket is valid for a week.,Билет действителен на неделю.
The ticket is valid for a week.,Билет действителен на неделю.
The ticket is valid to April 29.,Билет действителен до 29 апреля.
The ticket is valid to April 29.,Билет действителен до 29 апреля.
The tickets are 20 yen each.,Билеты по 20 иен каждый.
The tickets are 20 yen each.,Билеты по 20 иен каждый.
The tiger cub looked like a large kitten.,Тигровый детёныш был похож на большого котенка.
The tiger cub looked like a large kitten.,Тигровый детёныш был похож на большого котенка.
The tile which fell from the roof broke into pieces.,"Желудок, который упал с крыши, разбился на куски."
The tile which fell from the roof broke into pieces.,"Желудок, который упал с крыши, разбился на куски."
The time is yet to come.,Время еще не пришло.
The time is yet to come.,Время еще не пришло.
The time will come when you will understand this.,"Настанет время, когда ты поймешь это."
The time will come when you will understand this.,"Придёт время, когда ты поймешь это."
The time will come when your dream will come true.,"Придёт время, когда твоя мечта сбудется."
The time will come when your dream will come true.,"Придёт время, когда твоя мечта сбудется."
